"Form","File","Line","Control","Event","Handler"
"EyeCalibrationNPointUI.Designer","BasicPlugins\Calibration\EyeCalibrationNPointUI.Designer.cs","96","imageBoxRightEye","MouseDown","imageBoxLeftEye_MouseDown"
"EyeCalibrationNPointUI.Designer","BasicPlugins\Calibration\EyeCalibrationNPointUI.Designer.cs","106","imageBoxLeftEye","MouseDown","imageBoxLeftEye_MouseDown"
"EyeCalibrationNPointUI.Designer","BasicPlugins\Calibration\EyeCalibrationNPointUI.Designer.cs","134","button1","Click","button1_Click"
"FakeEyeControlUI.Designer","BasicPlugins\EyeTrackingSystems\FakeEyeControlUI.Designer.cs","75","panel1","DoubleClick","panel1_DoubleClick"
"FakeEyeControlUI.Designer","BasicPlugins\EyeTrackingSystems\FakeEyeControlUI.Designer.cs","76","panel1","MouseMove","panel1_MouseMove"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","72","buttonConnect","Click","buttonConnect_Click"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","83","buttonStartRecording","Click","buttonStartRecording_Click"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","94","buttonStopRecording","Click","buttonStopRecording_Click"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","197","buttonResetReference","Click","buttonResetReference_Click"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","209","buttonIncreaseDarkThresholdRight","Click","buttonIncreaseDarkThresholdRight_Click"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","221","buttonDecreaseDarkThresholdRight","Click","buttonDecreaseDarkThresholdRight_Click"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","233","buttonIncreaseDarkThresholdLeft","Click","buttonIncreaseDarkThresholdLeft_Click"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","245","buttonDecreaseDarkThresholdLeft","Click","buttonDecreaseDarkThresholdLeft_Click"
"OpenIrisRemoteClient.Designer","EyeTrackerRemoteGUI\OpenIrisRemoteClient.Designer.cs","341","buttonDowndloadFile","Click","buttonDowndloadFile_Click"
"CalibrationPipelineManualUI.Designer","OpenIrisLib\Calibration\CalibrationPipelineManualUI.Designer.cs","65","buttonAccept","Click","buttonAccept_Click"
"CalibrationPipelineManualUI.Designer","OpenIrisLib\Calibration\CalibrationPipelineManualUI.Designer.cs","135","sliderTextControlLeftEyeGlobeR","Load","sliderTextControlLeftEyeGlobeR_Load"
"CalibrationPipelineManualUI.Designer","OpenIrisLib\Calibration\CalibrationPipelineManualUI.Designer.cs","196","imageBoxRightEye","MouseDown","imageBoxRightEye_MouseDown"
"CalibrationPipelineManualUI.Designer","OpenIrisLib\Calibration\CalibrationPipelineManualUI.Designer.cs","197","imageBoxRightEye","MouseMove","imageBoxRightEye_MouseMove"
"CalibrationPipelineManualUI.Designer","OpenIrisLib\Calibration\CalibrationPipelineManualUI.Designer.cs","210","imageBoxLeftEye","MouseDown","imageBoxLeftEye_MouseDown"
"CalibrationPipelineManualUI.Designer","OpenIrisLib\Calibration\CalibrationPipelineManualUI.Designer.cs","211","imageBoxLeftEye","MouseMove","imageBoxLeftEye_MouseMove"
"CalibrationPipelineManualUI.Designer","OpenIrisLib\Calibration\CalibrationPipelineManualUI.Designer.cs","225","buttonAuto","Click","buttonAuto_Click"
"CalibrationPipelineManualUI.Designer","OpenIrisLib\Calibration\CalibrationPipelineManualUI.Designer.cs","239","butCancel","Click","butCancel_Click"
"CalibrationRemoteLinearUI.designer","OpenIrisLib\Calibration\CalibrationRemoteLinearUI.designer.cs","94","groupBox1","Enter","groupBox1_Enter"
"CalibrationRemoteLinearUI.designer","OpenIrisLib\Calibration\CalibrationRemoteLinearUI.designer.cs","106","dataGridView1","CellContentClick","dataGridView1_CellContentClick"
"BatchAnalysis.Designer","OpenIrisLib\UI\BatchAnalysis.Designer.cs","84","buttonAdd","Click","ButtonAdd_Click"
